Producto,Marca,Precio,Link,Tienda
"Laptop Acer Aspire 5 de 15.6"", modelo A515-58P-90RE, Intel Core i9 13900H (13va Gen), 14 núcleos, 16GB RAM, disco sólido de 512GB",ACER,30990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-aspire-5-de-15-6-modelo-a515-58p-90re-intel-core-i9-13900h-13va-gen-14-nucleos-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Asus Vivobook 15 de 15.6"", modelo X1504ZA-NJ278W,Intel Core i5-1235U (12va Gen), 10 núcleos, 8GB RAM, disco sólido de 512GB",ASUS,19990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-modelo-x1504za-nj278w-procesador-intel-core-i5-1235u-8gb-ram-512gb,Hiraoka
"Laptop Gamer Asus TUF F15 de 15.6"", modelo FX507ZC4-HN122W, Intel Core i5-12500H (12va Gen), 12 núcleos, NVIDIA GeForce RTX 3050, 16GB RAM, disco sólido de 1TB",ASUS,35990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-asus-tuf-f15-de-15-6-modelo-fx507zc4-hn122w-intel-core-i5-12500h-12va-gen-12-nucleos-nvidia-geforce-rtx-3050-16gb-ram-disco-solido-de-1tb,Hiraoka
"Laptop Lenovo Ideapad Slim 5i de 16"", modelo 82XF0071LM, Intel Core i7-13620H (13va Gen), 10 núcleos, 16GB RAM, disco sólido de 512GB",LENOVO,31490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-slim-5i-de-16-modelo-82xf0071lm-procesador-intel-core-i7-13620h-13va-generacion-16gb-ram-disco-solido-de-512gb-camara-web-1080p-fhd-entrada-usb-hdmi-y-tipo-c-bluetooth-v5-1-wifi-windows-11-home-para-oficina-o-estudiantes,Hiraoka
"Laptop Lenovo Ideapad Slim 3i de 15.6"", Pantalla táctil, Intel Core i5-12450H (12va Gen), 8 núcleos, 16GB RAM, disco sólido de 1TB, modelo 83ER001BLM",LENOVO,25990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-slim-3i-de-15-6-modelo-83er001blm-procesador-intel-core-i5-12450h-12va-generacion-16gb-ram-disco-solido-de-1tb-camara-web-1080p-fhd-entrada-usb-hdmi-y-tipo-c-bluetooth-v5-1-wifi-windows-11-home-para-oficina-o-estudiante,Hiraoka
"Laptop Lenovo Ideapad Slim 3 de 15.6"", modelo 83ER001ALM, Intel Core i5-12450H (12va Gen), 8 núcleos, 8GB RAM, disco sólido de 512GB",LENOVO,18990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-slim-3-de-15-6-modelo-83er001alm-intel-core-i5-12450h-12va-gen-8-nucleos-8gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer Acer Nitro V de 15.6"", modelo ANV15-51-515J, Intel Core i5 13420H (13va Gen), 8 núcleos, NVIDIA GeForce RTX 4050, 16GB RAM, disco sólido de 512GB",ACER,35990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-de-15-6-modelo-anv15-51-515j-intel-core-i5-13420h-13va-gen-8-nucleos-nvidia-geforce-rtx-4050-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop 2 en 1 HP Pavilion x360 de 14"", modelo 14-EK0008LA, Pantalla táctil, Intel Core i5-1235U (12va Gen), 10 núcleos, 8GB RAM, disco sólido de 512GB",HP,27990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-2-en-1-hp-pavilion-x360-de-14-modelo-14-ek0008la-pantalla-tactil-intel-core-i5-1235u-12va-gen-10-nucleos-8gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Lenovo Yoga Pro 7 de 14.5"", Copilot+ PC, AMD Ryzen AI 9 365, 32GB RAM, disco sólido de 1TB, modelo 83HN001SLM",LENOVO,59990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-yoga-pro-7-de-14-5-copilot-pc-amd-ryzen-ai-9-365-32gb-ram-disco-solido-de-1tb-modelo-83hn001slm,Hiraoka
"Laptop Gamer Asus TUF A16 de 16"", AMD Ryzen AI 9 HX 370, NVIDIA GeForce RTX 4060, 32GB RAM, disco sólido de 1TB, modelo FA608WV-QT021W",ASUS,79990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-asus-tuf-a16-de-16-amd-ryzen-ai-9-hx-370-nvidia-geforce-rtx-4060-32gb-ram-disco-solido-de-1tb-modelo-fa608wv-qt021w,Hiraoka
"Laptop HP de 15.6"", modelo 15-fd0026la, Intel Core i3-N305, 8 núcleos, 8GB RAM, disco sólido de 512GB",HP,16490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-de-15-6-modelo-15-fd0026la-intel-core-i3-n305-8-nucleos-8gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop HP Pavilion Aero de 13.3"", modelo 13-BG0002LA, AMD Ryzen 5 8640U, 16GB RAM, disco sólido de 512GB",HP,32990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-pavilion-aero-de-13-3-modelo-13-bg0002la-amd-ryzen-5-8640u-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Asus Zenbook S 16 OLED de 16"", Copilot+ PC, modelo UM5606WA-RJ230W, AMD Ryzen AI 9 HX 370, 32GB RAM, disco sólido de 1TB",ASUS,75990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-zenbook-s-16-de-16-modelo-um5606wa-rj230w-amd-ryzen-ai-9-hx-370-32gb-ram-disco-solido-de-1tb,Hiraoka
"Laptop Gamer HP Victus 15 de 15.6"", modelo 15-FB2017LA, AMD Ryzen 7 8840H, NVIDIA GeForce RTX 3050, 16GB RAM, disco sólido de 1TB",HP,43990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-hp-victus-15-de-15-6-modelo-15-fb2017la-amd-ryzen-7-8840h-nvidia-geforce-rtx-3050-16gb-ram-disco-solido-de-1tb,Hiraoka
"Laptop Gamer MSI Cyborg 15 A13V de 15.6"", Intel Core i7-13620H (13va Gen), 10 núcleos, NVIDIA GeForce RTX 4060, 16GB RAM, disco sólido de 512GB",MSI,49990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-cyborg-15-a13v-de-15-6-intel-core-i7-13620h-13va-gen-10-nucleos-nvidia-geforce-rtx-4060-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Lenovo Yoga Slim 7i de 14"", modelo 83CV0023LM, Intel Core Ultra 5 125H, 14 núcleos, 16GB RAM, disco sólido de 512GB",LENOVO,34990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-yoga-slim-7i-de-14-modelo-83cv0023lm-intel-core-ultra-5-125h-14va-gen-14-nucleos-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer MSI Thin 15 B13VE de 15.6"", Intel Core i5-13420H (13va Gen), 8 núcleos, NVIDIA GeForce RTX 4050, 16GB RAM, disco sólido de 512GB",MSI,38990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-msi-thin-15-b13ve-de-15-6-intel-core-i5-13420h-13va-gen-8-nucleos-nvidia-geforce-rtx-4050-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Lenovo IdeaPad Slim 3 de 15.6"", AMD Ryzen 5 7520U, 8GB RAM, disco sólido de 512GB, modelo 82XQ00LTLM",LENOVO,18990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-slim-3-de-15-6-amd-ryzen-5-7520u-8gb-ram-disco-solido-de-512gb-modelo-82xq00ltlm,Hiraoka
"Laptop Gamer HP Victus 15 de 15.6"", modelo 15-FB2002LA, AMD Ryzen 5 8640H, NVIDIA GeForce RTX 3050, 8GB RAM, disco sólido de 512GB",HP,32490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-hp-victus-15-de-15-6-modelo-15-fb2002la-amd-ryzen-5-8640h-nvidia-geforce-rtx-3050-8gb-ram-disco-solido-de-512gb,Hiraoka
"Macbook Pro de 14.2"", Chip M4 Pro, 24GB memoria unificada, disco sólido de 512GB, modelo MX2H3E/A, Negro espacial",APPLE,115990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-pro-de-14-2-chip-m4-pro-24gb-memoria-unificada-disco-solido-de-512gb-modelo-mx2h3e-a-negro-espacial,Hiraoka
